009115027;FITOSTIMOLINE*CREMA 32G 15%;FARMACEUTICI DAMOR SpA;18,000;;10,860;;;74;;;;;;10;D03AX
009115039;FITOSTIMOLINE*10GARZE 15%;FARMACEUTICI DAMOR SpA;20,000;;12,000;;;158;;;;;;10;D03AX
009115041;FITOSTIMOLINE*6 OV 600MG;FARMACEUTICI DAMOR SpA;17,000;;10,620;;;60;;;;;;10;G02CX
009115066;FITOSTIMOLINE*SOL VAG 5FL140ML;FARMACEUTICI DAMOR SpA;18,000;;11,220;;;7;;;;;;10;G02CX
009115078;FITOSTIMOLINE*CREMA VAG 20%;FARMACEUTICI DAMOR SpA;19,500;;12,310;;;60;;;;;;10;G02CX
009209053;POTASSION*GRAT EFF 20BUST;ACARPIA FARMACEUTICI Srl;18,000;;11,600;;;3;;;;;;10;A12BA30
009262015;ALAXA*20CPR GASTR 5MG;ANGELINI (A.C.R.A.F.) SpA;8,400;;4,690;;;74;;;;;;10;A06AB02
010130021;BIODERMATIN*30CPR 5MG;ALLIANCE PHARMA IRELAND LTD;15,200;;9,800;;;18;;;;;;10;A11HA05
010130060;BIODERMATIN*GRAT 30BUST 20MG;ALLIANCE PHARMA IRELAND LTD;65,670;;42,330;;;2;;;;;;10;A11HA05
010318032;CORTIDRO*CREMA 20G 0,5%;SOFAR SpA;15,900;;9,440;;;22;;;;;;10;D07AA02
010386023;HIRUDOID 25000UI*GEL 40G;EG SpA;15,500;;9,990;;;1;;;;;;10;C05BA01
010386062;HIRUDOID 40000UI*CREMA 50G;EG SpA;16,500;;10,580;;;135;;;;;;10;C05BA01
010386074;HIRUDOID 40000UI*GEL 50G;EG SpA;16,500;;10,580;;;116;;;;;;10;C05BA01
010386098;HIRUDOID 40000UI*CREMA 100G;EG SpA;24,000;;15,470;;;12;;;;;;10;C05BA01
010386100;HIRUDOID 40000UI*GEL 100G;EG SpA;24,000;;15,470;;;8;;;;;;10;C05BA01
011825015;SORBICLIS*AD SOLUZ RETT 120ML;SIT LABORATORIO FARMAC. Srl;5,200;;2,110;;;501;;;;;;10;A06AG10
011825027;SORBICLIS*BB SOLUZ RETT 120ML;SIT LABORATORIO FARMAC. Srl;5,200;;2,260;;;18;;;;;;10;A06AG10
011967015;CITRATO ESPRESSO GABBIANI*LIM;MONTEFARMACO OTC SpA;7,600;;4,430;;;10;;;;;;10;A06AD10
011967041;CITRATO ESPRESSO GABBIANI*ARAN;MONTEFARMACO OTC SpA;7,600;;4,480;;;3;;;;;;10;A06AD10
012235026;DEQUADIN*SOLxMUCOSA OS 28ML;EUROSPITAL SpA;12,900;;5,950;;;9;;;;;;10;R02AA02
012235040;DEQUADIN*20CPR 0,25MG;EUROSPITAL SpA;8,900;;3,430;;;4;;;;;;10;R02AA02
012377026;CORYFIN*24CARAM MENTOLO;SIT LABORATORIO FARMAC. Srl;7,900;;3,660;;;35;;;;;;10;R05CA10
012377053;CORYFIN*24CARAMELLE CON VIT.C;SIT LABORATORIO FARMAC. Srl;7,900;;3,460;;;68;;;;;;10;R05CA10
012377089;CORYFIN*24CARAM LIMONE;SIT LABORATORIO FARMAC. Srl;7,900;;3,550;;;14;;;;;;10;R05CA10
012745016;TACHIPIRINA*SCIR 120ML 120MG/5;ANGELINI (A.C.R.A.F.) SpA;7,550;;4,780;;;1430;;;;;;10;N02BE01
012745028;TACHIPIRINA*10CPR DIV 500MG;ANGELINI (A.C.R.A.F.) SpA;3,900;;2,430;;;51;;;;;;10;N02BE01
012745042;TACHIPIRINA*BB 10SUPP 250MG;ANGELINI (A.C.R.A.F.) SpA;6,800;;4,270;;;466;;;;;;10;N02BE01
012745055;TACHIPIRINA*BB 10SUPP 500MG;ANGELINI (A.C.R.A.F.) SpA;7,300;;4,490;;;350;;;;;;10;N02BE01
012745067;TACHIPIRINA*AD 10SUPP 1000MG;ANGELINI (A.C.R.A.F.) SpA;8,100;;5,120;;;461;;;;;;10;N02BE01
012745079;TACHIPIRINA*PR INF 10SUP 125MG;ANGELINI (A.C.R.A.F.) SpA;6,100;;3,810;;;185;;;;;;10;N02BE01
012745081;TACHIPIRINA*BB OS GTT 30ML 10%;ANGELINI (A.C.R.A.F.) SpA;5,300;;3,380;;;444;;;;;;10;N02BE01
012745093;TACHIPIRINA*20CPR DIV 500MG;ANGELINI (A.C.R.A.F.) SpA;6,700;;4,230;;;377;;;;;;10;N02BE01
012745117;TACHIPIRINA*GRAT EFF20BS 500MG;ANGELINI (A.C.R.A.F.) SpA;8,250;;5,240;;;519;;;;;;10;N02BE01
012745168;TACHIPIRINA*30CPR DIV 500MG;ANGELINI (A.C.R.A.F.) SpA;7,550;;4,780;;;2196;;;;;;10;N02BE01
012745271;TACHIPIRINA*NEO 10SUPP 62,5MG;ANGELINI (A.C.R.A.F.) SpA;5,850;;3,570;;;66;;;;;;10;N02BE01
012745283;TACHIPIRINA*SOSP 120ML VAN/CAR;ANGELINI (A.C.R.A.F.) SpA;7,550;;4,800;;;73;;;;;;10;N02BE01
012812018;ROVIGON*30CPR RIV MAST;TEOFARMA Srl;13,220;;8,480;;;56;;;;;;10;A11JA
013046038;ENTEROGERMINA*OS 10FL 2MLD/5ML;OPELLA HEALTHCARE ITALY Srl;13,900;;8,040;;;249;;;;;;10;A07FA
013046040;ENTEROGERMINA*OS 20FL 2MLD/5ML;OPELLA HEALTHCARE ITALY Srl;23,900;;15,370;;;442;;;;;;10;A07FA
013046077;ENTEROGERMINA*OS 10FL 4MLD 5ML;OPELLA HEALTHCARE ITALY Srl;17,900;;9,230;;;3167;;;;;;10;A07FA
013046089;ENTEROGERMINA*OS 20FL 4MLD 5ML;OPELLA HEALTHCARE ITALY Srl;27,900;;15,560;;;1391;;;;;;10;A07FA
013046115;ENTEROGERMINA*OS 9BS 6MLD/2G;OPELLA HEALTHCARE ITALY Srl;19,900;;10,640;;;89;;;;;;10;A07FA
013868031;PROCTOSEDYL*CREMA RETT 20G;BAYER SpA;13,460;;8,010;;;283;;;;;;10;C05AA01
013868043;PROCTOSEDYL*6SUPPOSTE;BAYER SpA;12,600;;7,830;;;30;;;;;;10;C05AA01
014137020;ASCOTODIN*COLL FL 10ML;BRUSCHETTINI Srl;12,100;;7,750;;;30;;;;;;10;S01XA
014205037;NORMALENE*20CPR RIV 5MG;MONTEFARMACO OTC SpA;8,100;;2,790;;;678;;;;;;10;A06AB02
014302032;ANAURAN*GTT AURIC FL 25ML;ZAMBON ITALIA Srl;11,900;;6,410;;;6;;;;;;10;S02AA30
014371037;CORSODYL*SOLUZ 150ML 200MG/100;HALEON ITALY Srl;13,500;;8,660;;;92;;;;;;10;A01AB03
014371088;CORSODYL*GEL DENT 30G 1G/100G;HALEON ITALY Srl;13,500;;8,620;;;41;;;;;;10;A01AB03
015001023;STILLA DECONG*COLL 8ML 0,05%;ANGELINI (A.C.R.A.F.) SpA;9,400;;3,620;;;192;;;;;;10;S01GA02
015001086;STILLA DECONG*COLL 10F 0,3ML;ANGELINI (A.C.R.A.F.) SpA;10,400;;4,130;;;100;;;;;;10;S01GA02
015582012;VISUSTRIN*COLL 10ML 1MG/ML;PIETRASANTA PHARMA SpA;8,200;;4,290;;;24;;;;;;10;S01GA02
015598016;RINAADVANCE*GTT RINOL 10ML;HALEON ITALY Srl;12,200;;7,860;;;39;;;;;;10;R01AA07
015784097;BIOCHETASI*OS GRAT EFF 18BUST;ALFASIGMA SpA;14,900;;9,400;;;890;;;;;;10;A11JB
015937016;ENEMAC*FL 130ML 16,1+6/100ML;EUROSPITAL SpA;4,900;;1,570;;;7;;;;;;10;A06AG01
016222073;CENTELLASE*30CPR 30MG;SIT LABORATORIO FARMAC. Srl;16,500;;8,520;;;51;;;;;;10;C05CX
016242048;BENAGOL*24PAST MENTOLO EUCALIP;RECKITT BENCKISER H.(IT.) SpA;13,200;;5,750;;;41;;;;;;10;R02AA03
016242063;BENAGOL*24PAST MIELE LIMONE;RECKITT BENCKISER H.(IT.) SpA;13,200;;5,690;;;330;;;;;;10;R02AA03
016242075;BENAGOL VIT C*24PAST ARANCIA;RECKITT BENCKISER H.(IT.) SpA;13,200;;5,860;;;39;;;;;;10;R02AA20
016242087;BENAGOL*24PAST LIMONE S/Z;RECKITT BENCKISER H.(IT.) SpA;13,200;;5,650;;;58;;;;;;10;R02AA03
016242137;BENAGOL*24PAST FRAGOLA S/Z;RECKITT BENCKISER H.(IT.) SpA;13,200;;5,860;;;9;;;;;;10;R02AA03
016242149;BENAGOL*36PAST MIELE LIMONE;RECKITT BENCKISER H.(IT.) SpA;17,300;;7,520;;;18;;;;;;10;R02AA03
016242152;BENAGOL VIT C*36PAST ARANCIA;RECKITT BENCKISER H.(IT.) SpA;17,300;;7,480;;;21;;;;;;10;R02AA20
016242291;BENAGOL*24PAST MENTA FREDDA;RECKITT BENCKISER H.(IT.) SpA;13,200;;5,680;;;37;;;;;;10;R02AA03
016703035;GOLAMIXIN*SPRAY OROFAR 10ML;TEOFARMA Srl;12,950;;8,350;;;31;;;;;;10;R02AB02
017076074;VENORUTON*OS 30BUST 1000MG;EG SpA;19,600;;12,530;;;62;;;;;;10;C05CA54
017076148;VENORUTON*30CPR RIV 500MG;EG SpA;17,800;;11,390;;;7;;;;;;10;C05CA54
017076151;VENORUTON*60CPR RIV 500MG;EG SpA;30,000;;19,080;;;18;;;;;;10;C05CA54
017389065;PREPARAZIONE H*12SUPP 23MG;HALEON ITALY Srl;15,300;;9,770;;;30;;;;;;10;C05AX
017389091;PREPARAZIONE H*UNG 1,08% 25G;HALEON ITALY Srl;13,850;;8,900;;;55;;;;;;10;C05AX
017389103;PREPARAZIONE H*UNG 1,08% 50G;HALEON ITALY Srl;17,600;;11,280;;;68;;;;;;10;C05AX
017863010;TETRAMIL*COLL FL10ML 0,3+0,05%;TEOFARMA Srl;9,080;;5,850;;;40;;;;;;10;S01GA52
017863034;TETRAMIL*10FL MONOD 0,5ML;TEOFARMA Srl;10,640;;6,860;;;76;;;;;;10;S01GA52
018554081;POLARAMIN*CREMA 25G 1%;BAYER SpA;12,900;;4,870;;;2470;;;;;;10;D04AA
018610016;CARNITENE*OS SOL 20ML 1,5G/5ML;ALFASIGMA SpA;9,700;;6,000;;;4;;;;;;10;A16AA01
018610042;CARNITENE*OS 10FL 1G/10ML;SIGMATAU IND.FARM.RIUNITE SpA;19,500;;12,500;;;8;;;;;;10;A16AA01
018610067;CARNITENE*10CPR MAST 1G;ALFASIGMA SpA;17,900;;11,530;;;2;;;;;;10;A16AA01
018723080;ACTIFED*12CPR 2,5MG+60MG;KENVUE ITALIA SPA;14,110;;5,890;;;140;;;;;;10;R01BA52
019646049;FIBRASE*POM 40G 1,5%;TEOFARMA Srl;10,660;;6,870;;;9;;;;;;10;C05BA04
019771043;BRONCHENOLO TOSSE*SCIR 150ML;PERRIGO ITALIA Srl;15,290;;6,550;;;38;;;;;;10;R05DA09
019875044;CONNETTIVINA*CREMA 15G 2MG/G;FIDIA FARMACEUTICI SpA;12,600;;7,300;;;34;;;;;;10;D03AX05
019875057;CONNETTIVINA*10GARZE 2MG 10x10;FIDIA FARMACEUTICI SpA;16,100;;9,300;;;74;;;;;;10;D03AX05
019875095;CONNETTIVINA*GEL 30G 2MG/G;FIDIA FARMACEUTICI SpA;17,300;;9,160;;;8;;;;;;10;D03AX05
020051037;FOILLE INSETTI*CREMA 15G 0,5%;SANOFI SpA;13,100;;4,720;;;46;;;;;;10;D07AA02
020096020;VIVIN C*20CPR EFF 330MG+200MG;A.MENARINI IND.FARM.RIUN.Srl;11,200;;5,560;;;926;;;;;;10;N02BA51
020124020;FENISTIL*OS GTT 20ML 1MG/ML;HALEON ITALY Srl;11,650;;7,140;;;15;;;;;;10;R06AB03
020124121;FENISTIL*0,1% GEL 30G;HALEON ITALY Srl;12,500;;7,750;;;67;;;;;;10;D04AA13
020157018;CERULISINA*GTT OTO FL 20ML;BOUTY SpA;15,900;;9,540;;;216;;;;;;10;S02DC
020213144;BENEXOL*20CPR GASTR FL;BAYER SpA;20,300;;13,050;;;117;;;;;;10;A11DB
020582300;FLUIMUCIL*NEBUL 20F 300MG/3ML;ZAMBON ITALIA Srl;21,900;;14,120;;;105;;;;;;10;R05CB01
020689016;VAGILEN*10 OVULI VAG 500MG;DYMALIFE PHARMACEUTICAL Srl;15,900;;10,010;;;29;;;;;;10;G01AF01
020702080;MAALOX PLUS*30CPR MAST;OPELLA HEALTHCARE ITALY Srl;13,900;;7,810;;;237;;;;;;10;A02AF02
020702270;MAALOX PLUS*OS SOSP 4+3,5+0,5%;OPELLA HEALTHCARE ITALY Srl;13,900;;7,680;;;22;;;;;;10;A02AF02
020702282;MAALOX*OS SOSP 250ML 4+3,5% ME;OPELLA HEALTHCARE ITALY Srl;14,900;;9,580;;;69;;;;;;10;A02AD01
020702344;MAALOX PLUS*50CPR MAST;OPELLA HEALTHCARE ITALY Srl;18,900;;10,290;;;141;;;;;;10;A02AF02
020708069;MYLICON*BB OS GTT 30ML;KENVUE ITALIA SPA;20,460;;10,960;;;178;;;;;;10;A03AX13
020942025;TROFODERMIN*CR DERM30G 0,5+0,5;SIT LABORATORIO FARMAC. Srl;12,700;;8,140;;;85;;;;;;10;D11AE
020942049;TROFODERMIN*SPR CUT 30ML 5%+5%;SIT LABORATORIO FARMAC. Srl;13,200;;8,510;;;69;;;;;;10;D11AE
020949020;GUTTALAX*OS GTT 15ML 7,5MG/ML;OPELLA HEALTHCARE ITALY Srl;10,900;;6,840;;;143;;;;;;10;A06AB08
021004015;BISOLVON*OS SOL FL 40ML 2MG/ML;OPELLA HEALTHCARE ITALY Srl;11,900;;7,620;;;205;;;;;;10;R05CB02
021004027;BISOLVON*20CPR 8MG;OPELLA HEALTHCARE ITALY Srl;11,900;;7,630;;;109;;;;;;10;R05CB02
021004179;BISOLVON*SCIR FL 200ML 8MG/5ML;OPELLA HEALTHCARE ITALY Srl;14,500;;8,190;;;385;;;;;;10;R05CB02
021004205;BISOLVON*SCIR FL 200ML FRAGOLA;OPELLA HEALTHCARE ITALY Srl;14,500;;8,020;;;65;;;;;;10;R05CB02
021115023;CTARD*60CPS 500MG RP FL;HALEON ITALY Srl;26,000;;16,200;;;35;;;;;;10;A11GA01
021196112;INDUSIL*OS GTT FL 30MG+FL 15ML;RECORDATI SpA;9,000;;4,610;;;28;;;;;;10;B03BA04
