sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,status,visibility,price,special_price,special_from_date,special_to_date,tax_class_name,qty,is_in_stock,manufacturer,ean,supplier,url_key
003247032,default,Default,simple,54,base,Profasi Hp im Sc 2f+2f 2000ui,Profasi Hp*im Sc 2f+2f 2000ui,Profasi Hp*im Sc 2f+2f 2000ui,1,1,4,2.53,,,,Taxable Goods,0,0,472,003247032,2759,profasi-hp-im-sc-2f-2f-2000ui-003247032
003268012,default,Default,simple,54,base,Sympatol os Soluz 10g 10%,Sympatol*os Soluz 10g 10%,Sympatol*os Soluz 10g 10%,1,1,4,2.91,,,,Taxable Goods,0,0,287,003268012,2759,sympatol-os-soluz-10g-10-003268012
003268024,default,Default,simple,54,base,Sympatol os Soluz 25g 10%,Sympatol*os Soluz 25g 10%,Sympatol*os Soluz 25g 10%,1,1,4,3.43,,,,Taxable Goods,0,0,287,003268024,2759,sympatol-os-soluz-25g-10-003268024
003283049,default,Default,simple,54,base,Agruvit S/z 16cpr Mast 500mg,Agruvit S/z*16cpr Mast 500mg,Agruvit S/z*16cpr Mast 500mg,1,1,4,3.02,,,,Taxable Goods,0,0,238,003283049,2759,agruvit-s-z-16cpr-mast-500mg-003283049
003311053,default,Default,simple,54,base,FENAZIL,"<h3>Denominazione</h3>  <p>FENAZIL</p>  <h3>Principi attivi</h3>  <p>FENAZIL 2% crema 100 g contengono: <b>Principio attivo</b>: Prometazina cloridrato 2,00 g. <b>Eccipienti con effetti noti</b>: Metile paraidrossibenzoato. FENAZIL 2% matita cutanea 100 g contengono: <b>Principio attivo</b>: Prometazina cloridrato 2,00 g. <b>Eccipienti con effetti noti</b>: Glicole propilenico, alcool cetilico e acido stearico. Per l&rsquo;elenco completo degli eccipienti vedere paragrafo 6.1.</p>  <h3>Eccipienti</h3>  <p>FENAZIL 2% crema Glicerolo, estere polietilenglicolico di acidi grassi, acido stearico, lavanda essenza profumata, metile paraidrossibenzoato, acqua depurata. FENAZIL 2% matita cutanea Acido stearico, alcool cetilico, glicole etilenico, glicole propilenico, lavanda essenza, alcool etilico.</p>  <h3>Indicazioni terapeutiche</h3>  <p>Uso temporaneo nel caso di punture di insetti ed altri fenomeni irritativi cutanei localizzati, quali rossore, bruciore e prurito.</p>  <h3>Posologia</h3>  <p><i>Fenazil matita cutanea</i> Frizionare leggermente e per alcuni secondi il Fenazil matita cutanea sulla parte interessata, 3 &ndash; 4 volte al giorno. <i>Fenazil crema</i> Applicare un leggero strato di Fenazil crema sulla parte interessata, massaggiando fino a penetrazione completa. Ripetere l&rsquo;applicazione 3 &ndash; 4 volte al giorno. Non superare le dosi consigliate.</p>  <h3>Controindicazioni</h3>  <p>Ipersensibilit&agrave; al principio attivo o ad uno qualsiasi degli eccipienti elencati al paragrafo 6.1. In caso di eczemi o lesioni secernenti. Controindicato nei bambini di et&agrave; inferiore a 2 anni.</p>  <h3>Avvertenze e precauzioni</h3>  <p>Il medicinale &egrave; solo per uso esterno. Non usare per trattamenti prolungati. L&rsquo;uso prolungato ed incongruo del medicinale pu&ograve; dare origine a fenomeni di sensibilizzazione allergica, con conseguente peggioramento della sintomatologia. Nel caso ci&ograve; si verifichi, occorre sospendere il trattamento, al fine di istituire una terapia idonea. Dato che l&rsquo;applicazione di Fenazil pu&ograve; ritardare i processi di cicatrizzazione, esso non deve essere impiegato per pi&ugrave; di 3 &ndash; 4 giorni consecutivi su lesioni nelle quali sia in atto tale fenomeno. Nel caso di eritema solare, non esporre la parte, dopo l&rsquo;applicazione, al sole. Qualora si manifestassero eruzioni cutanee, fenomeni di irritazione e bruciore il trattamento va sospeso. <i>Fenazil crema </i> Applicare la crema con precauzione ed in strato sottile quando la cute presenti abrasioni molto estese, per evitare un assorbimento sistemico del medicinale. L&rsquo;applicazione troppo abbondante di crema su aree molto estese della cute pu&ograve; determinare l&rsquo;assorbimento del farmaco e causare, in pazienti particolarmente sensibili, sonnolenza. <i>Fenazil matita cutanea </i> Usare solo su cute integra. Evitare il contatto del Fenazil matita cutanea con le mucose, le parti genitali e le ferite. Lavarsi le mani con acqua e sapone dopo l&rsquo;uso e richiudere bene il contenitore. Informazioni importanti su alcuni eccipienti Fenazil crema contiene: &ndash; metile paraidrossibenzoato pertanto pu&ograve; causare reazioni allergiche (anche ritardate) &ndash; estere polietilenglicolico di acidi grassi che pu&ograve; causare irritazione cutanea. <i>Fenazil matita cutanea </i>contiene: &ndash; glicole propilenico pertanto pu&ograve; causare irritazione cutanea &ndash; alcool cetilico e acido stearico, che possono causare reazioni cutanee locali (ad es. dermatiti da contatto).</p>  <h3>Interazioni</h3>  <p>Evitare l&rsquo;uso contemporaneo di altri farmaci per uso cutaneo.</p>  <h3>Gravidanza e allattamento</h3>  <p>Non risultano limitazioni d&rsquo;uso durante la gravidanza e l&rsquo;allattamento. &Egrave;, comunque, consigliato l&rsquo;uso solo dopo aver consultato un medico.</p>  <h3>Effetti sulla guida e sull'uso di macchinari</h3>  <p>Fenazil non altera la capacit&agrave; di guidare veicoli o di usare macchinari.</p>  <h3>Effetti indesiderati</h3>  <p>L&rsquo;applicazione topica della prometazina pu&ograve;, in qualche caso, indurre sensibilizzazione cutanea fino a forme di fotosensibilizzazione. L&rsquo;uso, specie se prolungato, dei medicinali per uso cutaneo pu&ograve; dare origine a fenomeni di sensibilizzazione: in tal caso, interrompere il trattamento e consultare il medico, per istituire una idonea terapia. <b>Segnalazione delle reazioni avverse sospette. </b> La segnalazione delle reazioni avverse sospette che si verificano dopo l&rsquo;autorizzazione del medicinale &egrave; importante, in quanto permette un monitoraggio continuo del rapporto beneficio/rischio del medicinale. Agli operatori sanitari &egrave; richiesto di segnalare qualsiasi reazione avversa sospetta tramite il sistema nazionale di segnalazione all&rsquo;indirizzo www.agenziafarmaco.gov.it/it/responsabili.</p>  <h3>Sovradosaggio</h3>  <p>Se accidentalmente ingerito in quantit&agrave; rilevante, il prodotto pu&ograve; causare inizialmente eccitazione nei bambini, mentre nell&rsquo;adulto predomina inizialmente sonnolenza. Non esistono antidoti specifici: la terapia &egrave; di tipo sintomatico (lavanda gastrica).</p>  <h3>Conservazione</h3>  <p>Conservare a temperatura non superiore ai 30&deg; C.</p>",FENAZIL,1,1,4,7.56,,,,Taxable Goods,18,1,239,003311053,2759,fenazil-003311053
003337033,default,Default,simple,54,base,Carboyoghurt 30cpr 330mg+50mg,Carboyoghurt*30cpr 330mg+50mg,Carboyoghurt*30cpr 330mg+50mg,1,1,4,6.75,,,,Taxable Goods,0,0,222,003337033,2759,carboyoghurt-30cpr-330mg-50mg-003337033
003350030,default,Default,simple,54,base,"Imizol coll 10fl 1d 0,5ml 0,1%","Imizol*coll 10fl 1d 0,5ml 0,1%","Imizol*coll 10fl 1d 0,5ml 0,1%",1,1,4,4.90,,,,Taxable Goods,0,0,269,003350030,2759,imizol-coll-10fl-1d-0-5ml-0-1-003350030
003366073,default,Default,simple,54,base,Cebion os Gtt 10ml 100mg/ml,Cebion*os Gtt 10ml 100mg/ml,Cebion*os Gtt 10ml 100mg/ml,1,1,4,5.58,,,,Taxable Goods,0,0,237,003366073,2759,cebion-os-gtt-10ml-100mg-ml-003366073
003366111,default,Default,simple,54,base,Cebion 10bust 1g Arancia,Cebion*10bust 1g Arancia,Cebion*10bust 1g Arancia,1,1,4,4.86,,,,Taxable Goods,1,1,237,003366111,2759,cebion-10bust-1g-arancia-003366111
003366147,default,Default,simple,54,base,Cebion 500 20cpr Mast Limone,Cebion 500*20cpr Mast Limone,Cebion 500*20cpr Mast Limone,1,1,4,5.85,,,,Taxable Goods,0,0,237,003366147,2759,cebion-500-20cpr-mast-limone-003366147
